customer_id,loyalty_tier,points_earned,points_redeemed,points_balance
CUST00001,Bronze,274,79,195
CUST00002,Silver,460,216,244
CUST00003,Bronze,561,139,422
CUST00004,Silver,267,56,211
CUST00005,Bronze,248,19,229
CUST00006,Gold,1617,795,822
CUST00007,Bronze,351,15,336
CUST00008,Bronze,408,209,199
CUST00009,Silver,1138,213,925
CUST00010,Bronze,178,17,161
CUST00011,Silver,684,111,573
CUST00012,Gold,2513,475,2038
CUST00013,Bronze,171,69,102
CUST00014,Bronze,288,169,119
CUST00015,Silver,876,362,514
CUST00016,Silver,717,415,302
CUST00017,Silver,1194,263,931
CUST00018,Bronze,119,31,88
CUST00019,Gold,956,457,499
CUST00020,Gold,619,366,253
CUST00021,Bronze,169,55,114
CUST00022,Bronze,393,227,166
CUST00023,Silver,906,492,414
CUST00024,Bronze,83,15,68
CUST00025,Bronze,1495,56,1439
CUST00026,Bronze,65,22,43
CUST00027,Silver,455,175,280
CUST00028,Bronze,137,68,69
CUST00029,Platinum,1740,356,1384
CUST00030,Gold,1931,158,1773
CUST00031,Gold,1505,635,870
CUST00032,Silver,266,108,158
CUST00033,Gold,2036,568,1468
CUST00034,Platinum,3282,1560,1722
CUST00035,Platinum,1595,349,1246
CUST00036,Platinum,2848,1233,1615
CUST00037,Bronze,163,78,85
CUST00038,Silver,938,429,509
CUST00039,Gold,1028,558,470
CUST00040,Bronze,563,76,487
CUST00041,Bronze,1110,141,969
CUST00042,Gold,1503,277,1226
CUST00043,Silver,742,105,637
CUST00044,Silver,415,23,392
CUST00045,Bronze,669,69,600
CUST00046,Bronze,245,20,225
CUST00047,Bronze,355,38,317
CUST00048,Bronze,112,45,67
CUST00049,Bronze,216,93,123
CUST00050,Bronze,523,256,267
CUST00051,Gold,1186,513,673
CUST00052,Bronze,46,19,27
CUST00053,Bronze,157,66,91
CUST00054,Bronze,26,6,20
CUST00055,Silver,1348,753,595
CUST00056,Platinum,2845,1263,1582
CUST00057,Bronze,588,86,502
CUST00058,Bronze,479,105,374
CUST00059,Silver,1084,21,1063
CUST00060,Platinum,2184,977,1207
CUST00061,Silver,481,278,203
CUST00062,Bronze,864,122,742
CUST00063,Bronze,631,136,495
CUST00064,Silver,1412,113,1299
CUST00065,Platinum,4517,522,3995
CUST00066,Bronze,571,168,403
CUST00067,Bronze,61,29,32
CUST00068,Silver,1027,21,1006
CUST00069,Bronze,90,42,48
CUST00070,Bronze,59,26,33
CUST00071,Bronze,138,57,81
CUST00072,Silver,828,462,366
CUST00073,Bronze,183,7,176
CUST00074,Bronze,49,14,35
CUST00075,Silver,1215,510,705
CUST00076,Bronze,254,47,207
CUST00077,Gold,1019,307,712
CUST00078,Bronze,139,32,107
CUST00079,Gold,1715,703,1012
CUST00080,Bronze,309,76,233
CUST00081,Silver,565,240,325
CUST00082,Gold,774,166,608
CUST00083,Gold,1717,897,820
CUST00084,Bronze,857,71,786
CUST00085,Gold,1483,105,1378
CUST00086,Bronze,215,59,156
CUST00087,Bronze,390,214,176
CUST00088,Bronze,636,56,580
CUST00089,Bronze,29,11,18
CUST00090,Bronze,73,26,47
CUST00091,Bronze,51,25,26
CUST00092,Bronze,258,134,124
CUST00093,Bronze,335,124,211
CUST00094,Bronze,303,53,250
CUST00095,Bronze,551,59,492
CUST00096,Bronze,19,10,9
CUST00097,Silver,1064,42,1022
CUST00098,Silver,493,66,427
CUST00099,Silver,427,152,275
CUST00100,Gold,753,80,673
CUST00101,Bronze,599,198,401
CUST00102,Silver,244,75,169
CUST00103,Bronze,180,40,140
CUST00104,Bronze,533,307,226
CUST00105,Gold,2237,879,1358
CUST00106,Bronze,648,118,530
CUST00107,Bronze,279,146,133
CUST00108,Gold,1300,286,1014
CUST00109,Silver,1345,437,908
CUST00110,Silver,704,270,434
CUST00111,Silver,388,73,315
CUST00112,Bronze,606,190,416
CUST00113,Silver,1180,525,655
CUST00114,Silver,446,109,337
CUST00115,Bronze,327,181,146
CUST00116,Bronze,220,25,195
CUST00117,Bronze,191,103,88
CUST00118,Bronze,178,1,177
CUST00119,Platinum,2208,1172,1036
CUST00120,Bronze,563,7,556
CUST00121,Gold,3321,393,2928
CUST00122,Gold,894,354,540
CUST00123,Silver,491,284,207
