session_id,customer_id,session_date,device,pages_viewed,duration_minutes,resulted_in_purchase
SESS0000001,CUST00001,2026-03-10,Website - Desktop,11,16.9,True
SESS0000002,CUST00001,2026-06-06,Website - Desktop,25,25.0,True
SESS0000003,CUST00002,2026-04-18,Website - Desktop,9,22.6,False
SESS0000004,CUST00002,2026-05-05,Website - Desktop,4,18.7,False
SESS0000005,CUST00002,2026-07-12,Website - Mobile Browser,2,26.3,False
SESS0000006,CUST00002,2026-06-04,Website - Desktop,1,23.7,False
SESS0000007,CUST00002,2026-01-19,Mobile App,16,22.8,False
SESS0000008,CUST00002,2025-11-06,Website - Mobile Browser,3,23.3,True
SESS0000009,CUST00002,2025-12-13,Website - Desktop,20,16.4,False
SESS0000010,CUST00002,2025-09-09,Website - Mobile Browser,2,16.6,False
SESS0000011,CUST00002,2025-12-25,Website - Mobile Browser,1,26.1,False
SESS0000012,CUST00002,2026-05-15,Website - Mobile Browser,5,3.4,True
SESS0000013,CUST00003,2026-05-20,Website - Desktop,17,25.5,True
SESS0000014,CUST00003,2025-10-11,Mobile App,11,18.9,False
SESS0000015,CUST00003,2026-08-19,Website - Mobile Browser,13,28.4,False
SESS0000016,CUST00003,2025-12-07,Website - Mobile Browser,22,16.4,False
SESS0000017,CUST00003,2025-09-29,Mobile App,23,29.3,False
SESS0000018,CUST00003,2026-03-13,Website - Mobile Browser,18,13.5,False
SESS0000019,CUST00003,2026-03-02,Website - Desktop,19,9.7,False
SESS0000020,CUST00003,2026-05-26,Mobile App,11,10.5,False
SESS0000021,CUST00003,2025-10-23,Website - Desktop,22,2.0,True
SESS0000022,CUST00003,2025-09-06,Mobile App,24,18.2,True
SESS0000023,CUST00003,2026-06-09,Website - Mobile Browser,25,14.6,False
SESS0000024,CUST00003,2026-03-28,Website - Mobile Browser,13,26.7,True
SESS0000025,CUST00003,2025-11-21,Mobile App,3,14.5,False
SESS0000026,CUST00003,2026-06-01,Website - Mobile Browser,2,7.2,False
SESS0000027,CUST00003,2026-05-15,Website - Mobile Browser,13,6.6,False
SESS0000028,CUST00003,2026-08-17,Website - Desktop,23,19.6,True
SESS0000029,CUST00003,2025-10-05,Website - Mobile Browser,9,10.2,False
SESS0000030,CUST00004,2025-09-17,Website - Desktop,1,1.9,False
SESS0000031,CUST00004,2026-01-08,Website - Mobile Browser,19,9.4,True
SESS0000032,CUST00004,2026-04-09,Website - Mobile Browser,19,7.9,True
SESS0000033,CUST00004,2026-01-01,Website - Desktop,13,20.6,False
SESS0000034,CUST00004,2025-09-13,Website - Mobile Browser,18,18.6,False
SESS0000035,CUST00004,2026-04-18,Website - Desktop,2,10.1,False
SESS0000036,CUST00004,2025-10-10,Mobile App,1,24.7,False
SESS0000037,CUST00004,2025-12-12,Website - Desktop,14,26.0,False
SESS0000038,CUST00004,2026-05-19,Website - Desktop,11,16.4,True
SESS0000039,CUST00004,2026-02-06,Website - Desktop,10,23.2,False
SESS0000040,CUST00004,2026-08-15,Mobile App,17,24.3,True
SESS0000041,CUST00004,2026-06-12,Mobile App,8,25.8,False
SESS0000042,CUST00004,2026-08-18,Website - Desktop,13,23.6,False
SESS0000043,CUST00004,2026-03-18,Mobile App,25,12.9,False
SESS0000044,CUST00004,2026-07-14,Mobile App,4,12.2,False
SESS0000045,CUST00004,2026-04-09,Website - Mobile Browser,12,7.3,True
SESS0000046,CUST00004,2026-03-06,Website - Mobile Browser,22,13.1,False
SESS0000047,CUST00004,2026-03-29,Mobile App,6,5.0,True
SESS0000048,CUST00004,2025-12-31,Website - Desktop,14,28.9,False
SESS0000049,CUST00004,2025-12-07,Website - Mobile Browser,16,9.7,True
SESS0000050,CUST00004,2026-06-05,Website - Desktop,20,2.5,True
SESS0000051,CUST00004,2026-05-11,Mobile App,6,8.8,False
SESS0000052,CUST00004,2026-04-26,Mobile App,12,27.4,False
SESS0000053,CUST00004,2026-05-11,Website - Desktop,18,24.0,False
SESS0000054,CUST00005,2026-03-02,Mobile App,25,27.2,False
SESS0000055,CUST00005,2025-11-24,Mobile App,16,17.9,False
SESS0000056,CUST00005,2025-12-23,Website - Desktop,23,15.1,False
SESS0000057,CUST00006,2026-03-24,Mobile App,6,17.5,False
