transaction_id,customer_id,transaction_date,channel,product_category,quantity,unit_price,total_amount
TXN0000001,CUST00001,2026-04-22,In-Store,Toys,2,14.64,29.28
TXN0000002,CUST00001,2025-11-24,Website,Home & Kitchen,1,245.62,245.62
TXN0000003,CUST00002,2025-12-29,Mobile App,Books,2,12.91,25.83
TXN0000004,CUST00002,2026-04-27,Website,Groceries,1,20.25,20.25
TXN0000005,CUST00002,2026-01-12,In-Store,Sports & Outdoors,2,18.36,36.73
TXN0000006,CUST00002,2026-06-25,Website,Books,1,29.56,29.56
TXN0000007,CUST00002,2026-03-16,In-Store,Beauty,2,41.21,82.42
TXN0000008,CUST00002,2026-08-17,Mobile App,Sports & Outdoors,1,86.25,86.25
TXN0000009,CUST00002,2025-09-15,Website,Beauty,1,96.59,96.59
TXN0000010,CUST00002,2026-04-15,Mobile App,Toys,2,41.58,83.16
TXN0000011,CUST00003,2025-10-22,In-Store,Sports & Outdoors,4,49.31,197.25
TXN0000012,CUST00003,2026-06-28,Mobile App,Sports & Outdoors,3,29.16,87.48
TXN0000013,CUST00003,2026-06-29,Mobile App,Toys,4,11.82,47.28
TXN0000014,CUST00003,2026-07-05,In-Store,Sports & Outdoors,3,76.62,229.87
TXN0000015,CUST00004,2025-09-22,Mobile App,Beauty,1,76.71,76.71
TXN0000016,CUST00004,2026-02-19,Website,Books,2,8.72,17.45
TXN0000017,CUST00004,2025-11-21,Website,Books,2,13.12,26.23
TXN0000018,CUST00004,2026-08-11,Mobile App,Sports & Outdoors,4,18.87,75.47
TXN0000019,CUST00004,2025-09-14,In-Store,Toys,3,15.62,46.87
TXN0000020,CUST00004,2025-11-15,Website,Toys,1,24.72,24.72
TXN0000021,CUST00005,2026-04-15,Website,Apparel,1,142.6,142.6
TXN0000022,CUST00005,2026-01-19,In-Store,Books,2,6.2,12.4
TXN0000023,CUST00005,2025-11-19,Website,Home & Kitchen,4,5.64,22.56
TXN0000024,CUST00005,2026-02-08,Website,Toys,1,62.74,62.74
TXN0000025,CUST00005,2026-06-11,Website,Books,3,2.79,8.38
TXN0000026,CUST00006,2026-02-04,In-Store,Electronics,4,106.67,426.66
TXN0000027,CUST00006,2026-07-01,In-Store,Home & Kitchen,1,49.96,49.96
TXN0000028,CUST00006,2026-02-03,Mobile App,Beauty,3,9.09,27.27
TXN0000029,CUST00006,2025-10-08,In-Store,Groceries,1,64.62,64.62
TXN0000030,CUST00006,2026-02-22,Website,Books,2,11.35,22.69
TXN0000031,CUST00006,2026-04-19,In-Store,Beauty,1,37.0,37.0
TXN0000032,CUST00006,2025-10-02,Mobile App,Electronics,4,30.03,120.13
TXN0000033,CUST00006,2026-01-22,Website,Toys,1,14.49,14.49
TXN0000034,CUST00006,2026-03-15,Mobile App,Apparel,4,20.62,82.48
TXN0000035,CUST00006,2025-08-27,Mobile App,Sports & Outdoors,1,147.98,147.98
TXN0000036,CUST00006,2025-09-28,In-Store,Electronics,4,55.58,222.32
TXN0000037,CUST00006,2026-04-01,Website,Apparel,3,35.8,107.4
TXN0000038,CUST00006,2026-04-06,In-Store,Electronics,3,61.51,184.52
TXN0000039,CUST00006,2025-12-14,Website,Beauty,4,15.71,62.83
TXN0000040,CUST00006,2026-02-26,In-Store,Groceries,2,8.59,17.18
TXN0000041,CUST00006,2025-11-09,Mobile App,Books,3,9.89,29.67
TXN0000042,CUST00007,2026-04-25,In-Store,Home & Kitchen,1,241.34,241.34
TXN0000043,CUST00007,2026-08-04,Mobile App,Sports & Outdoors,4,6.91,27.62
TXN0000044,CUST00007,2026-01-04,Website,Apparel,4,15.24,60.98
TXN0000045,CUST00007,2025-09-15,In-Store,Sports & Outdoors,3,7.32,21.96
TXN0000046,CUST00008,2025-11-15,Mobile App,Sports & Outdoors,4,36.24,144.96
TXN0000047,CUST00008,2026-02-06,Mobile App,Books,3,3.58,10.74
TXN0000048,CUST00008,2026-03-16,In-Store,Apparel,2,13.04,26.08
TXN0000049,CUST00008,2026-04-07,Website,Home & Kitchen,3,75.7,227.1
TXN0000050,CUST00009,2026-06-07,Website,Electronics,4,189.31,757.22
TXN0000051,CUST00009,2026-07-03,Website,Groceries,1,12.67,12.67
TXN0000052,CUST00009,2026-07-12,Website,Toys,4,13.64,54.56
TXN0000053,CUST00009,2026-04-17,Website,Apparel,1,62.78,62.78
TXN0000054,CUST00009,2026-07-18,Mobile App,Sports & Outdoors,1,217.97,217.97
TXN0000055,CUST00009,2026-05-02,Website,Books,2,16.46,32.93
TXN0000056,CUST00010,2026-07-25,Mobile App,Books,3,4.47,13.42
TXN0000057,CUST00010,2026-08-15,Website,Toys,2,10.84,21.67
TXN0000058,CUST00010,2026-08-20,Mobile App,Books,1,17.59,17.59
TXN0000059,CUST00010,2026-07-23,Website,Beauty,4,18.72,74.88
TXN0000060,CUST00010,2026-08-02,Mobile App,Beauty,2,25.61,51.21
TXN0000061,CUST00011,2026-07-19,Website,Books,4,4.66,18.63
TXN0000062,CUST00011,2026-05-06,In-Store,Sports & Outdoors,4,29.61,118.45
TXN0000063,CUST00011,2026-05-19,In-Store,Home & Kitchen,2,52.06,104.12
TXN0000064,CUST00011,2026-05-16,Mobile App,Home & Kitchen,3,96.69,290.08
TXN0000065,CUST00011,2026-07-21,Website,Toys,2,43.71,87.42
TXN0000066,CUST00011,2026-07-21,Website,Groceries,4,16.56,66.24
TXN0000067,CUST00012,2025-10-04,Website,Beauty,2,31.65,63.3
TXN0000068,CUST00012,2026-04-03,Mobile App,Electronics,4,191.19,764.75
TXN0000069,CUST00012,2025-11-02,In-Store,Beauty,3,16.49,49.46
TXN0000070,CUST00012,2026-07-27,In-Store,Apparel,4,31.39,125.56
TXN0000071,CUST00012,2026-01-15,Mobile App,Home & Kitchen,2,98.67,197.33
TXN0000072,CUST00012,2026-02-07,Website,Home & Kitchen,4,55.07,220.27
TXN0000073,CUST00012,2026-06-04,Website,Toys,4,14.14,56.58
TXN0000074,CUST00012,2026-05-12,Mobile App,Sports & Outdoors,1,179.88,179.88
TXN0000075,CUST00012,2025-10-04,Website,Beauty,3,23.06,69.18
TXN0000076,CUST00012,2026-01-23,Website,Electronics,4,118.11,472.42
TXN0000077,CUST00012,2026-07-26,In-Store,Sports & Outdoors,4,60.48,241.94
TXN0000078,CUST00012,2026-06-24,Website,Apparel,2,24.96,49.93
TXN0000079,CUST00012,2026-03-26,Mobile App,Books,2,11.41,22.82
TXN0000080,CUST00013,2026-08-12,In-Store,Toys,4,4.59,18.36
TXN0000081,CUST00013,2026-07-30,In-Store,Apparel,2,15.34,30.67
TXN0000082,CUST00013,2026-08-07,Website,Sports & Outdoors,2,61.0,122.0
TXN0000083,CUST00014,2026-08-17,Mobile App,Toys,4,4.45,17.81
TXN0000084,CUST00014,2026-05-31,Website,Groceries,1,8.35,8.35
TXN0000085,CUST00014,2026-07-05,Website,Sports & Outdoors,2,83.64,167.27
TXN0000086,CUST00014,2026-07-08,In-Store,Beauty,2,28.22,56.44
TXN0000087,CUST00014,2026-05-23,Website,Books,2,19.34,38.67
TXN0000088,CUST00015,2026-07-29,Mobile App,Home & Kitchen,4,18.05,72.19
TXN0000089,CUST00015,2026-06-25,Website,Beauty,4,12.62,50.46
TXN0000090,CUST00015,2026-02-17,Website,Beauty,1,28.52,28.52
TXN0000091,CUST00015,2026-02-26,Mobile App,Home & Kitchen,2,61.21,122.42
TXN0000092,CUST00015,2026-07-24,Mobile App,Groceries,4,13.82,55.3
TXN0000093,CUST00015,2025-10-30,Mobile App,Sports & Outdoors,4,38.82,155.29
TXN0000094,CUST00015,2026-03-23,Mobile App,Sports & Outdoors,4,24.43,97.72
TXN0000095,CUST00015,2026-05-17,Mobile App,Groceries,1,73.9,73.9
TXN0000096,CUST00015,2025-10-13,Mobile App,Sports & Outdoors,3,14.23,42.7
TXN0000097,CUST00015,2026-01-14,Website,Sports & Outdoors,4,44.49,177.96
TXN0000098,CUST00016,2026-03-31,Mobile App,Books,4,5.38,21.54
TXN0000099,CUST00016,2026-07-10,Mobile App,Home & Kitchen,4,43.84,175.38
TXN0000100,CUST00016,2026-02-24,Website,Home & Kitchen,4,27.02,108.08
TXN0000101,CUST00016,2026-01-12,Mobile App,Sports & Outdoors,4,59.67,238.68
TXN0000102,CUST00016,2026-08-14,Website,Books,4,9.71,38.84
TXN0000103,CUST00016,2026-07-22,Mobile App,Toys,4,10.81,43.25
TXN0000104,CUST00016,2026-05-28,Mobile App,Apparel,2,45.66,91.33
TXN0000105,CUST00017,2025-12-03,Website,Beauty,2,29.19,58.38
TXN0000106,CUST00017,2026-08-08,In-Store,Toys,1,53.98,53.98
TXN0000107,CUST00017,2026-08-11,Mobile App,Groceries,3,21.04,63.13
TXN0000108,CUST00017,2026-02-06,Mobile App,Electronics,4,155.0,620.0
TXN0000109,CUST00017,2025-10-14,Mobile App,Books,2,5.64,11.28
TXN0000110,CUST00017,2026-01-22,Website,Electronics,3,129.1,387.3
TXN0000111,CUST00018,2026-05-06,Mobile App,Apparel,2,59.85,119.71
TXN0000112,CUST00019,2026-07-18,In-Store,Sports & Outdoors,4,54.34,217.35
TXN0000113,CUST00019,2026-05-17,Website,Home & Kitchen,2,119.88,239.76
TXN0000114,CUST00019,2026-07-12,In-Store,Sports & Outdoors,2,70.05,140.09
TXN0000115,CUST00019,2026-08-02,Website,Groceries,3,8.9,26.7
TXN0000116,CUST00019,2026-07-13,In-Store,Apparel,4,8.32,33.3
TXN0000117,CUST00019,2026-08-13,In-Store,Groceries,2,35.02,70.03
TXN0000118,CUST00019,2026-07-02,Mobile App,Home & Kitchen,3,29.97,89.91
TXN0000119,CUST00019,2026-05-04,In-Store,Books,3,7.89,23.66
TXN0000120,CUST00019,2026-07-01,Mobile App,Books,1,22.46,22.46
TXN0000121,CUST00019,2026-05-16,Mobile App,Groceries,3,19.03,57.1
TXN0000122,CUST00019,2026-05-24,Mobile App,Toys,1,36.18,36.18
TXN0000123,CUST00020,2026-04-26,Mobile App,Toys,3,20.26,60.79
TXN0000124,CUST00020,2026-08-15,In-Store,Books,4,3.74,14.97
TXN0000125,CUST00020,2026-04-18,In-Store,Toys,3,10.49,31.48
TXN0000126,CUST00020,2026-08-06,Website,Home & Kitchen,4,44.63,178.52
